评论,时间,点赞数,标签
比现在打架全靠特效强多了，现在影视剧打个架都得慢动作，完全糊弄观众，现在武打演员成了国宝了。,2023-03-23 12:58:05,0,0
太棒了太棒了，猴子挂树和醉拳踩竹子那块太精彩了,2023-03-23 10:39:31,0,0
敢不敢和我鹰拳一战[傲娇],2023-03-23 10:21:24,0,0
别呀，我没这么厉害的[脱单doge][脱单doge][脱单doge],2023-03-23 06:51:24,1,0
这TM才叫电影,2023-03-23 13:05:09,1,0
帅炸了哥们儿[喜欢],2023-03-23 13:19:01,1,0
让小鲜肉怎么办？,2023-03-23 04:06:04,1,0
什么时候出电影[卖萌],2023-03-23 08:37:53,1,0
现在已经没有武侠片了，武侠已死[笑哭],2023-03-24 08:06:08,0,0
哼，我家geigei只要面无表情的旋转原地飞天，手一挥，你们都会爆炸[歪嘴],2023-03-24 03:55:35,0,0
好帅，有笑傲江湖那味儿，初窥武侠世界的一角,2023-03-24 04:52:03,0,0
很厉害啊,2023-03-23 09:23:22,1,0
帅的不行,2023-03-24 04:28:24,1,0
歪果仁：还骗我说没功夫，这下被我抓到实锤了。中国人都会功夫[星星眼],2023-03-24 04:03:18,0,0
这力道和动作真的比现在武侠的好，小时候家里喜欢买李连杰的电影合集的碟片，从小看到大的打戏后来就没什么演员能走这种路子了,2023-03-23 09:26:45,0,0
一掌四式,2023-03-23 09:39:19,1,0
拍武侠的导演来学学,2023-03-22 23:46:52,1,0
听说醉拳是地躺拳的一种，躺在地面上很厉害,2023-03-24 01:17:11,0,0
粉丝量说明一切 其实我们还是喜欢看武侠的,2023-03-23 06:20:55,0,0
话说大师兄呢？,2023-03-23 11:35:09,1,0
比现在打架全靠特效强多了，现在影视剧打个架都得慢动作，完全糊弄观众，现在武打演员成了国宝了。,2023-03-23 12:58:05,0,0
太棒了太棒了，猴子挂树和醉拳踩竹子那块太精彩了,2023-03-23 10:39:31,0,0
敢不敢和我鹰拳一战[傲娇],2023-03-23 10:21:24,0,0
别呀，我没这么厉害的[脱单doge][脱单doge][脱单doge],2023-03-23 06:51:24,1,0
这TM才叫电影,2023-03-23 13:05:09,1,0
帅炸了哥们儿[喜欢],2023-03-23 13:19:01,1,0
让小鲜肉怎么办？,2023-03-23 04:06:04,1,0
什么时候出电影[卖萌],2023-03-23 08:37:53,1,0
现在已经没有武侠片了，武侠已死[笑哭],2023-03-24 08:06:08,0,0
哼，我家geigei只要面无表情的旋转原地飞天，手一挥，你们都会爆炸[歪嘴],2023-03-24 03:55:35,0,0
好帅，有笑傲江湖那味儿，初窥武侠世界的一角,2023-03-24 04:52:03,0,0
很厉害啊,2023-03-23 09:23:22,1,0
帅的不行,2023-03-24 04:28:24,1,0
歪果仁：还骗我说没功夫，这下被我抓到实锤了。中国人都会功夫[星星眼],2023-03-24 04:03:18,0,0
这力道和动作真的比现在武侠的好，小时候家里喜欢买李连杰的电影合集的碟片，从小看到大的打戏后来就没什么演员能走这种路子了,2023-03-23 09:26:45,0,0
一掌四式,2023-03-23 09:39:19,1,0
拍武侠的导演来学学,2023-03-22 23:46:52,1,0
听说醉拳是地躺拳的一种，躺在地面上很厉害,2023-03-24 01:17:11,0,0
粉丝量说明一切 其实我们还是喜欢看武侠的,2023-03-23 06:20:55,0,0
话说大师兄呢？,2023-03-23 11:35:09,1,0
比现在打架全靠特效强多了，现在影视剧打个架都得慢动作，完全糊弄观众，现在武打演员成了国宝了。,2023-03-23 12:58:05,0,0
太棒了太棒了，猴子挂树和醉拳踩竹子那块太精彩了,2023-03-23 10:39:31,0,0
敢不敢和我鹰拳一战[傲娇],2023-03-23 10:21:24,0,0
别呀，我没这么厉害的[脱单doge][脱单doge][脱单doge],2023-03-23 06:51:24,1,0
这TM才叫电影,2023-03-23 13:05:09,1,0
帅炸了哥们儿[喜欢],2023-03-23 13:19:01,1,0
让小鲜肉怎么办？,2023-03-23 04:06:04,1,0
什么时候出电影[卖萌],2023-03-23 08:37:53,1,0
现在已经没有武侠片了，武侠已死[笑哭],2023-03-24 08:06:08,0,0
哼，我家geigei只要面无表情的旋转原地飞天，手一挥，你们都会爆炸[歪嘴],2023-03-24 03:55:35,0,0
好帅，有笑傲江湖那味儿，初窥武侠世界的一角,2023-03-24 04:52:03,0,0
很厉害啊,2023-03-23 09:23:22,1,0
帅的不行,2023-03-24 04:28:24,1,0
歪果仁：还骗我说没功夫，这下被我抓到实锤了。中国人都会功夫[星星眼],2023-03-24 04:03:18,0,0
这力道和动作真的比现在武侠的好，小时候家里喜欢买李连杰的电影合集的碟片，从小看到大的打戏后来就没什么演员能走这种路子了,2023-03-23 09:26:45,0,0
一掌四式,2023-03-23 09:39:19,1,0
拍武侠的导演来学学,2023-03-22 23:46:52,1,0
听说醉拳是地躺拳的一种，躺在地面上很厉害,2023-03-24 01:17:11,0,0
粉丝量说明一切 其实我们还是喜欢看武侠的,2023-03-23 06:20:55,0,0
话说大师兄呢？,2023-03-23 11:35:09,1,0
比现在打架全靠特效强多了，现在影视剧打个架都得慢动作，完全糊弄观众，现在武打演员成了国宝了。,2023-03-23 12:58:05,0,0
太棒了太棒了，猴子挂树和醉拳踩竹子那块太精彩了,2023-03-23 10:39:31,0,0
敢不敢和我鹰拳一战[傲娇],2023-03-23 10:21:24,0,0
