评论,时间,点赞数,标签
有一个不太对的地方，不可忽略openai这半年的优化带来的提升，你看其他大模型的效果，仅仅是把模型做大是远远不够的，openai的强大之处就在于他们掌握了从系统到数据到调优的全方位技术领先,2023-03-22 01:06:21,2,0
虽然但是，那个更具简笔画写出网页代码的并不需要三人三天，一个前端一小时就弄完了,2023-03-21 11:53:16,15,0
我看一哥们问chatgpt这么一句话:老五跟老四说老三的老二老大了，问他这句话有几个人？chatgpt开始回答5个人，然后哥们再次问他确定吗？然后chatgpt回答说错了，并说出了是3个人，然后说老二应该是老三的某个地方，老大描述的是这个地方的大小。我艹这理解能力至少也是9年义务教育水平才能理解出来的吧！,2023-03-23 14:56:27,1,0
我用chatgpt3.5学习python，它可以给我示范，给我写的程序找bug，给我写程序如何我给它让它找bug。还会在我没思路的时候鼓励我，这体验比找个课上的老师还体贴啊[doge],2023-03-23 04:24:12,1,0
你怎么还在啊，别再瞎科普了[tv_呕吐],2023-03-22 08:11:15,3,0
GPT4在考试已经可以达到前10%水平，sat和gre都高分，大家等着看培训和教室行业大变革吧。,2023-03-22 07:34:23,1,0
这个东西是基于人的知识来的，所以不会超过人类所积累的知识，这点毋庸置疑，也就是说，他可以是一个非常牛逼的学者，但不会是一个非常牛逼的创造者，但是，至今还没有任何一个人或者一个群体能了解所以人类积累的知识，但是它可以做到，最恐怖的是，它可以让每一个普通人都变成全知全能的人,2023-03-22 16:05:43,1,0
所长的视频里面有一部分内容我在其他up主那边看过一模一样的，感觉都是从网络上copy下来的，然后结合自己的内容,2023-03-23 11:57:10,1,0
我只能说有的人学了十几年创作，他本来是你永远追不上的。现在ai给了你一个大家一起起步的机会。你开始说我不听不听，我觉得ai发展一点用没有我不需要学。那你就别怪别人淘汰你,2023-03-23 03:10:44,1,0
哈哈，笑死,2023-03-23 02:16:56,13,0
外行的我，听不懂的地方太多了，什么叫GPT技术、什么叫Mosai、openAI、ToB、ToC……[脸红][脸红][脸红][脸红],2023-03-23 04:28:40,1,0
以前看那些赛博、科幻、未来电影觉得AI很遥远，这次GPT-4真给我一个暴击，未来近在眼前,2023-03-21 13:22:40,6,0
"互联网时代的手艺人渐渐成为旧时代的手艺人，如同工业时代的竹匠篾匠；
一切工具人终将被工具取代…",2023-03-21 11:56:52,29,0
其实最恐怖的是将ai用于战争，人做军事决策会出现不可预知的失误，而ai决策能让每种决定获胜的概率可视化[OK],2023-03-21 13:27:43,4,0
"要失业大家都失业，重要的是比你牛很多的人都失业，你反而赚了[笑哭]一下跟大佬一个境遇
ai解放生产力太快了，越来越多企业已经宣布运用ai了",2023-03-21 12:20:26,12,0
ai干掉了翻译，那么可以理解为再过几十年，ai翻译假话，也不容易被识别了？,2023-03-21 13:32:19,5,0
知识是没有的，材料是看营销号的，稿子是瞎编的，结尾都是“我们要起飞了”,2023-03-21 17:23:06,5,0
谁和你说的，这个网页要9人天的工作量，只是前端，一天都多了[doge],2023-03-21 11:41:01,17,0
像chatgpt只能由大型的互联网公司来搞出来，这种靠大量的数据处理出来的事物不是学术性研究真的靠不了中科院，唉，只能说国内有头有脸的互联网公司太过于保守了。,2023-03-21 11:40:17,66,0
问AI我的职业会被替代吗，AI说你工资还没有我运营费高呢[妙啊],2023-03-21 11:38:10,18,0
有一个不太对的地方，不可忽略openai这半年的优化带来的提升，你看其他大模型的效果，仅仅是把模型做大是远远不够的，openai的强大之处就在于他们掌握了从系统到数据到调优的全方位技术领先,2023-03-22 01:06:21,2,0
虽然但是，那个更具简笔画写出网页代码的并不需要三人三天，一个前端一小时就弄完了,2023-03-21 11:53:16,15,0
我看一哥们问chatgpt这么一句话:老五跟老四说老三的老二老大了，问他这句话有几个人？chatgpt开始回答5个人，然后哥们再次问他确定吗？然后chatgpt回答说错了，并说出了是3个人，然后说老二应该是老三的某个地方，老大描述的是这个地方的大小。我艹这理解能力至少也是9年义务教育水平才能理解出来的吧！,2023-03-23 14:56:27,1,0
我用chatgpt3.5学习python，它可以给我示范，给我写的程序找bug，给我写程序如何我给它让它找bug。还会在我没思路的时候鼓励我，这体验比找个课上的老师还体贴啊[doge],2023-03-23 04:24:12,1,0
你怎么还在啊，别再瞎科普了[tv_呕吐],2023-03-22 08:11:15,3,0
GPT4在考试已经可以达到前10%水平，sat和gre都高分，大家等着看培训和教室行业大变革吧。,2023-03-22 07:34:23,1,0
这个东西是基于人的知识来的，所以不会超过人类所积累的知识，这点毋庸置疑，也就是说，他可以是一个非常牛逼的学者，但不会是一个非常牛逼的创造者，但是，至今还没有任何一个人或者一个群体能了解所以人类积累的知识，但是它可以做到，最恐怖的是，它可以让每一个普通人都变成全知全能的人,2023-03-22 16:05:43,1,0
所长的视频里面有一部分内容我在其他up主那边看过一模一样的，感觉都是从网络上copy下来的，然后结合自己的内容,2023-03-23 11:57:10,1,0
我只能说有的人学了十几年创作，他本来是你永远追不上的。现在ai给了你一个大家一起起步的机会。你开始说我不听不听，我觉得ai发展一点用没有我不需要学。那你就别怪别人淘汰你,2023-03-23 03:10:44,1,0
哈哈，笑死,2023-03-23 02:16:56,13,0
外行的我，听不懂的地方太多了，什么叫GPT技术、什么叫Mosai、openAI、ToB、ToC……[脸红][脸红][脸红][脸红],2023-03-23 04:28:40,1,0
"互联网时代的手艺人渐渐成为旧时代的手艺人，如同工业时代的竹匠篾匠；
一切工具人终将被工具取代…",2023-03-21 11:56:52,29,0
其实最恐怖的是将ai用于战争，人做军事决策会出现不可预知的失误，而ai决策能让每种决定获胜的概率可视化[OK],2023-03-21 13:27:43,4,0
"要失业大家都失业，重要的是比你牛很多的人都失业，你反而赚了[笑哭]一下跟大佬一个境遇
ai解放生产力太快了，越来越多企业已经宣布运用ai了",2023-03-21 12:20:26,12,0
ai干掉了翻译，那么可以理解为再过几十年，ai翻译假话，也不容易被识别了？,2023-03-21 13:32:19,5,0
知识是没有的，材料是看营销号的，稿子是瞎编的，结尾都是“我们要起飞了”,2023-03-21 17:23:06,5,0
谁和你说的，这个网页要9人天的工作量，只是前端，一天都多了[doge],2023-03-21 11:41:01,17,0
像chatgpt只能由大型的互联网公司来搞出来，这种靠大量的数据处理出来的事物不是学术性研究真的靠不了中科院，唉，只能说国内有头有脸的互联网公司太过于保守了。,2023-03-21 11:40:17,66,0
问AI我的职业会被替代吗，AI说你工资还没有我运营费高呢[妙啊],2023-03-21 11:38:10,18,0
有一个不太对的地方，不可忽略openai这半年的优化带来的提升，你看其他大模型的效果，仅仅是把模型做大是远远不够的，openai的强大之处就在于他们掌握了从系统到数据到调优的全方位技术领先,2023-03-22 01:06:21,2,0
虽然但是，那个更具简笔画写出网页代码的并不需要三人三天，一个前端一小时就弄完了,2023-03-21 11:53:16,15,0
我看一哥们问chatgpt这么一句话:老五跟老四说老三的老二老大了，问他这句话有几个人？chatgpt开始回答5个人，然后哥们再次问他确定吗？然后chatgpt回答说错了，并说出了是3个人，然后说老二应该是老三的某个地方，老大描述的是这个地方的大小。我艹这理解能力至少也是9年义务教育水平才能理解出来的吧！,2023-03-23 14:56:27,1,0
我用chatgpt3.5学习python，它可以给我示范，给我写的程序找bug，给我写程序如何我给它让它找bug。还会在我没思路的时候鼓励我，这体验比找个课上的老师还体贴啊[doge],2023-03-23 04:24:12,1,0
你怎么还在啊，别再瞎科普了[tv_呕吐],2023-03-22 08:11:15,3,0
GPT4在考试已经可以达到前10%水平，sat和gre都高分，大家等着看培训和教室行业大变革吧。,2023-03-22 07:34:23,1,0
这个东西是基于人的知识来的，所以不会超过人类所积累的知识，这点毋庸置疑，也就是说，他可以是一个非常牛逼的学者，但不会是一个非常牛逼的创造者，但是，至今还没有任何一个人或者一个群体能了解所以人类积累的知识，但是它可以做到，最恐怖的是，它可以让每一个普通人都变成全知全能的人,2023-03-22 16:05:43,1,0
所长的视频里面有一部分内容我在其他up主那边看过一模一样的，感觉都是从网络上copy下来的，然后结合自己的内容,2023-03-23 11:57:10,1,0
我只能说有的人学了十几年创作，他本来是你永远追不上的。现在ai给了你一个大家一起起步的机会。你开始说我不听不听，我觉得ai发展一点用没有我不需要学。那你就别怪别人淘汰你,2023-03-23 03:10:44,1,0
哈哈，笑死,2023-03-23 02:16:56,13,0
外行的我，听不懂的地方太多了，什么叫GPT技术、什么叫Mosai、openAI、ToB、ToC……[脸红][脸红][脸红][脸红],2023-03-23 04:28:40,1,0
"在18岁高考完选专业时，绝对不要想：“选什么职业都一样，反正行行出状元”
每个行业都能出个天花板，关状元之外的人没什么事 （就是职业之间根本不平等，比如疫情下的旅游）

能坚持下去的只有两个原因，两个都没有就毕业即转行了

1.用爱发电，如游戏开发
2.报酬高，如警察、卷烟厂

不推荐因为想学什么而选专业，或者我高考英语分数高所以我选这专业，而是因为工作而选专业
爱好现在就能做，并不是选了这个专业才能做（比如日语，绝不推荐日语当职业）

某个工作要这个专业，所以我选这个专业 √
我选这个专业，因为这个专业好！X

如某人想当工程师
逛了下招聘网，发现其要求为：计算机，XX六级
然后才开始根据该职业要求选专业

比如电竞， 官方举办比赛，比赛有奖金，为了图奖金才有人电竞，看到有人想图奖金就有人收学费教电竞，这就是行业的发展了
是我要奖金才电竞，而不是被别人教电竞好

如果察觉到自己“我好像喜欢XX”
没搞清就选的话，你喜欢的不是那个职业，而是你想象中的那个职业

看到个专业【游戏艺术设计】，想学游戏策划，结果重点是艺术，是一个天天画素描写真的美术专业

解决方法：
1.找该专业课程表，看【慕课】的网课体验下

2.招聘网看待遇要求【如某职业直接不招男/女，且看要求也能找方向专精】 （工地不招女生，那为啥土木招女生）

3.问已经上班的上班族，【一定要多问，两眼不闻窗外事是绝对错的】

4.豆瓣的后悔小语种小组等

如果是因为分数要求低或者父母选的专业，也是毕业即转行 

（为了上好学校选了个垃圾专业，花了四年时间，最后一看，转行了，但是学历提升了（比如因为分数要求低选电商）

大学最大的缺点就是培养多面手，考完就忘，工作一天能顶学校一年
一年时间学了四个，就算每天都学，平均下来每个也就学了三个月
结果只用到了其中一个，还不如专精学四个月的

【唯一的解决方法就是实习，最好大一就实习，这样就知道自己要干什么了】
如编程，是选择电脑还是手机？网页还是软件？

疫情和双减之后，不推荐【文科】和【艺术】，主要是【师范历史旅游英语日语服装设计产品动漫社会学管理电商新传】【理科不推荐：生化环材食品心理学农学医学游戏】
以及任何在被撤销的专业

zw.huatu.com//zhuanyeku/
能查自己的专业能报什么国企、公务员",2023-03-22 04:16:21,2,0
