评论,时间,点赞数,标签
在赫尔辛基曼纳海姆大街 你除了能看到他们英雄的雕像 还能看到这个国家为什么在他之后依然昌盛,1679400192,33,0
越南会笑的树、芬兰会唱歌的雪、阿富汗会发射rpg的山。还有什么欢迎补充？？？,1679477680,17,0
有些弹幕评论……总之无论怎么说苏联都无罪且正义是吧😅,1679411963,73,0
我有幸去過赫爾辛基，曼納海姆的雕像就立在市中心，芬蘭人可是一刻也沒有忘記俄國人幹了什麼,1679495230,27,0
"我知道会有人支持曼纳海姆对起义的看法，没错以他的阶级选择很正常，勤于王事也没啥值得挑剔的，但假如你穿越过去，按照当时的人口比例你八成就是被埋的普通人（哦，还有穿越过去就能纵横捭阖啥的，呃，现在去缅缅都要怕被噶腰子，你确定要穿越），所以你赞美个屁呀。[怪我咯][怪我咯][怪我咯][怪我咯][怪我咯]
哦对了，假如你是芬兰人支持他我没意见。",1679405876,62,0
笑死了，李鸿章居然假惺惺的说，确实大多数皇帝会假惺惺的滴几滴鳄鱼泪罢了,1679402224,61,0
其实你们都忽略了一件事，那就是芬兰的民族独立恰恰是沙俄崩溃的结果之一，无论曼纳海姆对沙皇抱有怎样的情绪，他之所以能成为芬兰的民族英雄，其前提是沙俄完蛋了，这恐怕是曼纳海姆一生中最大的黑色幽默,1679403012,74,0
不管怎么说，他一定是让苏联红军最破防的人[doge],1679394596,49,0
说到一千多个俄国穷苦老百姓不如一个奥地利大公的生命时说确实，我只能说我尊重你的想法毕竟人人都可以有不同的观点，但是如果你是一个俄国的穷苦老百姓，你的生活艰辛，但是你有爱你的妻子，你的妻子就是你心目中最喜欢的那种，你也有你爱的孩子，这天你听到沙皇登基有金币发放你欣喜若狂，因为几个金币就可以改善你们家窘迫的情况，你喊着家里的所有人出发希望拿到多几个金币来让你们过的不在这么艰苦，但是拥挤的人群出现了踩踏，你的妻子和孩子都刚刚好死在了这场踩踏，你伟大高贵的皇帝对此第一时间却表示恶心，哦沙皇可真是伟大，谁在乎你之后无妻无子会怎么样呢。我最后只能说我确实不起来。,1679398919,77,0
曼纳海姆，一个矛盾的人，一个封建时期的余孽，一个保卫芬兰民族的英雄,1679571408,10,0
屁股决定脑袋，如果我出身高贵，拥有一大群财富和土地。我肯定选择镇压革命保住自己的财富。如果我一无所有，以后可能也一无所有，你告诉我，我的土地和财富都是被他们剥削走的。我肯定选择革命，抢回土地和财富。,1679564101,17,0
每每讲述上个世纪初至中叶的世界历史，人们无不侃侃而谈教员、光头、罗斯福、丘吉尔、斯大林等等本身就是大国的领导人，而对于其他体量小的国家，那个时代依旧有着很多让历史爱好者印象深刻的人，西临大西洋的爱尔兰、东至罗马尼亚、土耳其，北至芬兰、挪威，南至西班牙、葡萄牙、希腊，这些国家本身都是一战二战的中外圈国家，但是这些国家所处的这个时代的领导人，依旧有着很多值得了解的故事。,1679398615,49,0
"在沙俄时代，曼纳海姆之流从未为芬兰民族的独立出过力。相反在革命前的俄国，坚决主张芬兰、乌克兰、波兰都有权利脱离俄国独立的只有布党。
讽刺的是，在沙俄在芬兰要求小学生都要说俄语，推行同化奴化教育的时候。芬兰贵族曼纳海姆从来没有为同胞出过一分力，反而是他日后的对手格鲁吉亚穷学生斯大林写文章要求承认芬兰人脱离俄国独立的权利。
即便到了二月后，临时政府里的孟什维克和社革成员也拒绝了乌克兰拉达要求脱离俄国的请求，还准备用武力压制。
苏芬战争固然是侵略——斯大林并没有考虑过恢复红芬兰，只是馋维堡这块地罢了。不过话说回来，倘若芬兰内战以红芬获胜告终，那么也不会有苏芬战争了。曼纳海姆不过是收拾当年留下的烂摊子而已。
至于今日芬兰能够成为福利国家，主要也是因为战后芬兰在苏联的监督下进行了改造，废除了反红反工法令。在战后的首次大选中，芬共获得了22%的支持率，在整个冷战期间都维持了15%以上的席位，多次与社民党联合组建政府。这就是历史对芬兰战间期右翼政权的判决，可谓苛政猛于斯大林。
说实话，要不是芬兰变成战败国，别说芬共，就算芬兰社民党也没机会参与政治，更不用说建设福利国家了，芬兰如今大概也不会被视做“北欧国家”。",1679437043,36,0
人们爱苏联的极端真性情“所谓血性”，但同时也给他们造成了一些麻烦，就是感觉他们始终好像只能生活在一种极端的环境中[笑哭],1679477749,22,0
看完这集，感觉曼纳海姆给我留下的印象基本就是一个军事才华出众的反动军官，但是去看完他的后续人生之后发现，他确实是一个以国家大义为重的领袖，失去自己的皇帝之后，他就把自己的后半生致力于捍卫自己的祖国，无论是在芬兰独立初期的维持国内局势，还是再后续抵御苏联进攻上，他都成功的维护了自己的祖国，而二战中的左右逢源也成功的保全了芬兰。而实际上他也多次为了国家选择了与自己厌恶的民主和社会主义妥协。个人对他的看法，一个杰出的将领，一个保守但不迂腐的政治领袖，一个国家最忠实的捍卫者。,1679409050,26,0
芬兰人将他奉为国父是实至名归，曼帅是真的能人,1679555619,9,0
这场战争使得洗头佬以为苏联是一座踢一脚就倒的破房子[脱单doge],1679395552,60,0
难绷。都听这个up了还不知道历史是复杂的。,1679405433,36,0
"一些还没讲但值得讲的领导人
葡萄牙:安东尼奥·萨拉查
波兰：约瑟夫·毕苏司机
罗马尼亚：扬·安东内斯库
匈牙利：霍尔蒂·米克洛什",1679547440,6,0
在赫尔辛基曼纳海姆大街 你除了能看到他们英雄的雕像 还能看到这个国家为什么在他之后依然昌盛,1679400192,33,0
越南会笑的树、芬兰会唱歌的雪、阿富汗会发射rpg的山。还有什么欢迎补充？？？,1679477680,17,0
有些弹幕评论……总之无论怎么说苏联都无罪且正义是吧😅,1679411963,73,0
论当民族主义和共产主义碰撞时[吃瓜],1679400415,33,0
我有幸去過赫爾辛基，曼納海姆的雕像就立在市中心，芬蘭人可是一刻也沒有忘記俄國人幹了什麼,1679495230,27,0
"我知道会有人支持曼纳海姆对起义的看法，没错以他的阶级选择很正常，勤于王事也没啥值得挑剔的，但假如你穿越过去，按照当时的人口比例你八成就是被埋的普通人（哦，还有穿越过去就能纵横捭阖啥的，呃，现在去缅缅都要怕被噶腰子，你确定要穿越），所以你赞美个屁呀。[怪我咯][怪我咯][怪我咯][怪我咯][怪我咯]
哦对了，假如你是芬兰人支持他我没意见。",1679405876,62,0
笑死了，李鸿章居然假惺惺的说，确实大多数皇帝会假惺惺的滴几滴鳄鱼泪罢了,1679402224,61,0
其实你们都忽略了一件事，那就是芬兰的民族独立恰恰是沙俄崩溃的结果之一，无论曼纳海姆对沙皇抱有怎样的情绪，他之所以能成为芬兰的民族英雄，其前提是沙俄完蛋了，这恐怕是曼纳海姆一生中最大的黑色幽默,1679403012,74,0
不管怎么说，他一定是让苏联红军最破防的人[doge],1679394596,49,0
说到一千多个俄国穷苦老百姓不如一个奥地利大公的生命时说确实，我只能说我尊重你的想法毕竟人人都可以有不同的观点，但是如果你是一个俄国的穷苦老百姓，你的生活艰辛，但是你有爱你的妻子，你的妻子就是你心目中最喜欢的那种，你也有你爱的孩子，这天你听到沙皇登基有金币发放你欣喜若狂，因为几个金币就可以改善你们家窘迫的情况，你喊着家里的所有人出发希望拿到多几个金币来让你们过的不在这么艰苦，但是拥挤的人群出现了踩踏，你的妻子和孩子都刚刚好死在了这场踩踏，你伟大高贵的皇帝对此第一时间却表示恶心，哦沙皇可真是伟大，谁在乎你之后无妻无子会怎么样呢。我最后只能说我确实不起来。,1679398919,77,0
曼纳海姆，一个矛盾的人，一个封建时期的余孽，一个保卫芬兰民族的英雄,1679571408,10,0
屁股决定脑袋，如果我出身高贵，拥有一大群财富和土地。我肯定选择镇压革命保住自己的财富。如果我一无所有，以后可能也一无所有，你告诉我，我的土地和财富都是被他们剥削走的。我肯定选择革命，抢回土地和财富。,1679564101,17,0
每每讲述上个世纪初至中叶的世界历史，人们无不侃侃而谈教员、光头、罗斯福、丘吉尔、斯大林等等本身就是大国的领导人，而对于其他体量小的国家，那个时代依旧有着很多让历史爱好者印象深刻的人，西临大西洋的爱尔兰、东至罗马尼亚、土耳其，北至芬兰、挪威，南至西班牙、葡萄牙、希腊，这些国家本身都是一战二战的中外圈国家，但是这些国家所处的这个时代的领导人，依旧有着很多值得了解的故事。,1679398615,49,0
"在沙俄时代，曼纳海姆之流从未为芬兰民族的独立出过力。相反在革命前的俄国，坚决主张芬兰、乌克兰、波兰都有权利脱离俄国独立的只有布党。
讽刺的是，在沙俄在芬兰要求小学生都要说俄语，推行同化奴化教育的时候。芬兰贵族曼纳海姆从来没有为同胞出过一分力，反而是他日后的对手格鲁吉亚穷学生斯大林写文章要求承认芬兰人脱离俄国独立的权利。
即便到了二月后，临时政府里的孟什维克和社革成员也拒绝了乌克兰拉达要求脱离俄国的请求，还准备用武力压制。
苏芬战争固然是侵略——斯大林并没有考虑过恢复红芬兰，只是馋维堡这块地罢了。不过话说回来，倘若芬兰内战以红芬获胜告终，那么也不会有苏芬战争了。曼纳海姆不过是收拾当年留下的烂摊子而已。
至于今日芬兰能够成为福利国家，主要也是因为战后芬兰在苏联的监督下进行了改造，废除了反红反工法令。在战后的首次大选中，芬共获得了22%的支持率，在整个冷战期间都维持了15%以上的席位，多次与社民党联合组建政府。这就是历史对芬兰战间期右翼政权的判决，可谓苛政猛于斯大林。
说实话，要不是芬兰变成战败国，别说芬共，就算芬兰社民党也没机会参与政治，更不用说建设福利国家了，芬兰如今大概也不会被视做“北欧国家”。",1679437043,36,0
人们爱苏联的极端真性情“所谓血性”，但同时也给他们造成了一些麻烦，就是感觉他们始终好像只能生活在一种极端的环境中[笑哭],1679477749,22,0
看完这集，感觉曼纳海姆给我留下的印象基本就是一个军事才华出众的反动军官，但是去看完他的后续人生之后发现，他确实是一个以国家大义为重的领袖，失去自己的皇帝之后，他就把自己的后半生致力于捍卫自己的祖国，无论是在芬兰独立初期的维持国内局势，还是再后续抵御苏联进攻上，他都成功的维护了自己的祖国，而二战中的左右逢源也成功的保全了芬兰。而实际上他也多次为了国家选择了与自己厌恶的民主和社会主义妥协。个人对他的看法，一个杰出的将领，一个保守但不迂腐的政治领袖，一个国家最忠实的捍卫者。,1679409050,26,0
芬兰人将他奉为国父是实至名归，曼帅是真的能人,1679555619,9,0
这场战争使得洗头佬以为苏联是一座踢一脚就倒的破房子[脱单doge],1679395552,60,0
难绷。都听这个up了还不知道历史是复杂的。,1679405433,36,0
"一些还没讲但值得讲的领导人
葡萄牙:安东尼奥·萨拉查
波兰：约瑟夫·毕苏司机
罗马尼亚：扬·安东内斯库
匈牙利：霍尔蒂·米克洛什",1679547440,6,0
在赫尔辛基曼纳海姆大街 你除了能看到他们英雄的雕像 还能看到这个国家为什么在他之后依然昌盛,1679400192,33,0
越南会笑的树、芬兰会唱歌的雪、阿富汗会发射rpg的山。还有什么欢迎补充？？？,1679477680,17,0
有些弹幕评论……总之无论怎么说苏联都无罪且正义是吧😅,1679411963,73,0
论当民族主义和共产主义碰撞时[吃瓜],1679400415,33,0
老元帅的战略眼光真的狠辣，一开始苏联“温和”地提议拿摩尔曼斯克换维堡的土地时曼纳海姆几乎不假思索就想答应这个能保持中立且最大维护领土利益的最优解，可惜芬兰政府不自量力而又短视，在付出了惨痛的抵抗代价后只赢得了虽败犹荣的评价却还是输掉了维堡。在二战中又是曼纳海姆力挽狂澜把战争范围仅仅维持在收复失地而非与纳粹同流合污才最终免于战后被清算。结果呢，老元帅最后依然被迫流亡为芬德合作买单，可以说芬兰人对不起他们的老元帅。,1679505271,13,0
我有幸去過赫爾辛基，曼納海姆的雕像就立在市中心，芬蘭人可是一刻也沒有忘記俄國人幹了什麼,1679495230,27,0
笑死了，李鸿章居然假惺惺的说，确实大多数皇帝会假惺惺的滴几滴鳄鱼泪罢了,1679402224,61,0
"我知道会有人支持曼纳海姆对起义的看法，没错以他的阶级选择很正常，勤于王事也没啥值得挑剔的，但假如你穿越过去，按照当时的人口比例你八成就是被埋的普通人（哦，还有穿越过去就能纵横捭阖啥的，呃，现在去缅缅都要怕被噶腰子，你确定要穿越），所以你赞美个屁呀。[怪我咯][怪我咯][怪我咯][怪我咯][怪我咯]
哦对了，假如你是芬兰人支持他我没意见。",1679405876,62,0
不管怎么说，他一定是让苏联红军最破防的人[doge],1679394596,49,0
其实你们都忽略了一件事，那就是芬兰的民族独立恰恰是沙俄崩溃的结果之一，无论曼纳海姆对沙皇抱有怎样的情绪，他之所以能成为芬兰的民族英雄，其前提是沙俄完蛋了，这恐怕是曼纳海姆一生中最大的黑色幽默,1679403012,74,0
曼纳海姆，一个矛盾的人，一个封建时期的余孽，一个保卫芬兰民族的英雄,1679571408,10,0
说到一千多个俄国穷苦老百姓不如一个奥地利大公的生命时说确实，我只能说我尊重你的想法毕竟人人都可以有不同的观点，但是如果你是一个俄国的穷苦老百姓，你的生活艰辛，但是你有爱你的妻子，你的妻子就是你心目中最喜欢的那种，你也有你爱的孩子，这天你听到沙皇登基有金币发放你欣喜若狂，因为几个金币就可以改善你们家窘迫的情况，你喊着家里的所有人出发希望拿到多几个金币来让你们过的不在这么艰苦，但是拥挤的人群出现了踩踏，你的妻子和孩子都刚刚好死在了这场踩踏，你伟大高贵的皇帝对此第一时间却表示恶心，哦沙皇可真是伟大，谁在乎你之后无妻无子会怎么样呢。我最后只能说我确实不起来。,1679398919,77,0
每每讲述上个世纪初至中叶的世界历史，人们无不侃侃而谈教员、光头、罗斯福、丘吉尔、斯大林等等本身就是大国的领导人，而对于其他体量小的国家，那个时代依旧有着很多让历史爱好者印象深刻的人，西临大西洋的爱尔兰、东至罗马尼亚、土耳其，北至芬兰、挪威，南至西班牙、葡萄牙、希腊，这些国家本身都是一战二战的中外圈国家，但是这些国家所处的这个时代的领导人，依旧有着很多值得了解的故事。,1679398615,49,0
屁股决定脑袋，如果我出身高贵，拥有一大群财富和土地。我肯定选择镇压革命保住自己的财富。如果我一无所有，以后可能也一无所有，你告诉我，我的土地和财富都是被他们剥削走的。我肯定选择革命，抢回土地和财富。,1679564101,17,0
"在沙俄时代，曼纳海姆之流从未为芬兰民族的独立出过力。相反在革命前的俄国，坚决主张芬兰、乌克兰、波兰都有权利脱离俄国独立的只有布党。
讽刺的是，在沙俄在芬兰要求小学生都要说俄语，推行同化奴化教育的时候。芬兰贵族曼纳海姆从来没有为同胞出过一分力，反而是他日后的对手格鲁吉亚穷学生斯大林写文章要求承认芬兰人脱离俄国独立的权利。
即便到了二月后，临时政府里的孟什维克和社革成员也拒绝了乌克兰拉达要求脱离俄国的请求，还准备用武力压制。
苏芬战争固然是侵略——斯大林并没有考虑过恢复红芬兰，只是馋维堡这块地罢了。不过话说回来，倘若芬兰内战以红芬获胜告终，那么也不会有苏芬战争了。曼纳海姆不过是收拾当年留下的烂摊子而已。
至于今日芬兰能够成为福利国家，主要也是因为战后芬兰在苏联的监督下进行了改造，废除了反红反工法令。在战后的首次大选中，芬共获得了22%的支持率，在整个冷战期间都维持了15%以上的席位，多次与社民党联合组建政府。这就是历史对芬兰战间期右翼政权的判决，可谓苛政猛于斯大林。
说实话，要不是芬兰变成战败国，别说芬共，就算芬兰社民党也没机会参与政治，更不用说建设福利国家了，芬兰如今大概也不会被视做“北欧国家”。",1679437043,36,0
人们爱苏联的极端真性情“所谓血性”，但同时也给他们造成了一些麻烦，就是感觉他们始终好像只能生活在一种极端的环境中[笑哭],1679477749,22,0
看完这集，感觉曼纳海姆给我留下的印象基本就是一个军事才华出众的反动军官，但是去看完他的后续人生之后发现，他确实是一个以国家大义为重的领袖，失去自己的皇帝之后，他就把自己的后半生致力于捍卫自己的祖国，无论是在芬兰独立初期的维持国内局势，还是再后续抵御苏联进攻上，他都成功的维护了自己的祖国，而二战中的左右逢源也成功的保全了芬兰。而实际上他也多次为了国家选择了与自己厌恶的民主和社会主义妥协。个人对他的看法，一个杰出的将领，一个保守但不迂腐的政治领袖，一个国家最忠实的捍卫者。,1679409050,26,0
芬兰人将他奉为国父是实至名归，曼帅是真的能人,1679555619,9,0
这场战争使得洗头佬以为苏联是一座踢一脚就倒的破房子[脱单doge],1679395552,60,0
难绷。都听这个up了还不知道历史是复杂的。,1679405433,36,0
"一些还没讲但值得讲的领导人
葡萄牙:安东尼奥·萨拉查
波兰：约瑟夫·毕苏司机
罗马尼亚：扬·安东内斯库
匈牙利：霍尔蒂·米克洛什",1679547440,6,0
在赫尔辛基曼纳海姆大街 你除了能看到他们英雄的雕像 还能看到这个国家为什么在他之后依然昌盛,1679400192,33,0
越南会笑的树、芬兰会唱歌的雪、阿富汗会发射rpg的山。还有什么欢迎补充？？？,1679477680,17,0
有些弹幕评论……总之无论怎么说苏联都无罪且正义是吧😅,1679411963,73,0
我有幸去過赫爾辛基，曼納海姆的雕像就立在市中心，芬蘭人可是一刻也沒有忘記俄國人幹了什麼,1679495230,27,0
"我知道会有人支持曼纳海姆对起义的看法，没错以他的阶级选择很正常，勤于王事也没啥值得挑剔的，但假如你穿越过去，按照当时的人口比例你八成就是被埋的普通人（哦，还有穿越过去就能纵横捭阖啥的，呃，现在去缅缅都要怕被噶腰子，你确定要穿越），所以你赞美个屁呀。[怪我咯][怪我咯][怪我咯][怪我咯][怪我咯]
哦对了，假如你是芬兰人支持他我没意见。",1679405876,62,0
笑死了，李鸿章居然假惺惺的说，确实大多数皇帝会假惺惺的滴几滴鳄鱼泪罢了,1679402224,61,0
其实你们都忽略了一件事，那就是芬兰的民族独立恰恰是沙俄崩溃的结果之一，无论曼纳海姆对沙皇抱有怎样的情绪，他之所以能成为芬兰的民族英雄，其前提是沙俄完蛋了，这恐怕是曼纳海姆一生中最大的黑色幽默,1679403012,74,0
不管怎么说，他一定是让苏联红军最破防的人[doge],1679394596,49,0
说到一千多个俄国穷苦老百姓不如一个奥地利大公的生命时说确实，我只能说我尊重你的想法毕竟人人都可以有不同的观点，但是如果你是一个俄国的穷苦老百姓，你的生活艰辛，但是你有爱你的妻子，你的妻子就是你心目中最喜欢的那种，你也有你爱的孩子，这天你听到沙皇登基有金币发放你欣喜若狂，因为几个金币就可以改善你们家窘迫的情况，你喊着家里的所有人出发希望拿到多几个金币来让你们过的不在这么艰苦，但是拥挤的人群出现了踩踏，你的妻子和孩子都刚刚好死在了这场踩踏，你伟大高贵的皇帝对此第一时间却表示恶心，哦沙皇可真是伟大，谁在乎你之后无妻无子会怎么样呢。我最后只能说我确实不起来。,1679398919,77,0
曼纳海姆，一个矛盾的人，一个封建时期的余孽，一个保卫芬兰民族的英雄,1679571408,10,0
屁股决定脑袋，如果我出身高贵，拥有一大群财富和土地。我肯定选择镇压革命保住自己的财富。如果我一无所有，以后可能也一无所有，你告诉我，我的土地和财富都是被他们剥削走的。我肯定选择革命，抢回土地和财富。,1679564101,17,0
每每讲述上个世纪初至中叶的世界历史，人们无不侃侃而谈教员、光头、罗斯福、丘吉尔、斯大林等等本身就是大国的领导人，而对于其他体量小的国家，那个时代依旧有着很多让历史爱好者印象深刻的人，西临大西洋的爱尔兰、东至罗马尼亚、土耳其，北至芬兰、挪威，南至西班牙、葡萄牙、希腊，这些国家本身都是一战二战的中外圈国家，但是这些国家所处的这个时代的领导人，依旧有着很多值得了解的故事。,1679398615,49,0
"在沙俄时代，曼纳海姆之流从未为芬兰民族的独立出过力。相反在革命前的俄国，坚决主张芬兰、乌克兰、波兰都有权利脱离俄国独立的只有布党。
讽刺的是，在沙俄在芬兰要求小学生都要说俄语，推行同化奴化教育的时候。芬兰贵族曼纳海姆从来没有为同胞出过一分力，反而是他日后的对手格鲁吉亚穷学生斯大林写文章要求承认芬兰人脱离俄国独立的权利。
即便到了二月后，临时政府里的孟什维克和社革成员也拒绝了乌克兰拉达要求脱离俄国的请求，还准备用武力压制。
苏芬战争固然是侵略——斯大林并没有考虑过恢复红芬兰，只是馋维堡这块地罢了。不过话说回来，倘若芬兰内战以红芬获胜告终，那么也不会有苏芬战争了。曼纳海姆不过是收拾当年留下的烂摊子而已。
至于今日芬兰能够成为福利国家，主要也是因为战后芬兰在苏联的监督下进行了改造，废除了反红反工法令。在战后的首次大选中，芬共获得了22%的支持率，在整个冷战期间都维持了15%以上的席位，多次与社民党联合组建政府。这就是历史对芬兰战间期右翼政权的判决，可谓苛政猛于斯大林。
说实话，要不是芬兰变成战败国，别说芬共，就算芬兰社民党也没机会参与政治，更不用说建设福利国家了，芬兰如今大概也不会被视做“北欧国家”。",1679437043,36,0
人们爱苏联的极端真性情“所谓血性”，但同时也给他们造成了一些麻烦，就是感觉他们始终好像只能生活在一种极端的环境中[笑哭],1679477749,22,0
看完这集，感觉曼纳海姆给我留下的印象基本就是一个军事才华出众的反动军官，但是去看完他的后续人生之后发现，他确实是一个以国家大义为重的领袖，失去自己的皇帝之后，他就把自己的后半生致力于捍卫自己的祖国，无论是在芬兰独立初期的维持国内局势，还是再后续抵御苏联进攻上，他都成功的维护了自己的祖国，而二战中的左右逢源也成功的保全了芬兰。而实际上他也多次为了国家选择了与自己厌恶的民主和社会主义妥协。个人对他的看法，一个杰出的将领，一个保守但不迂腐的政治领袖，一个国家最忠实的捍卫者。,1679409050,26,0
芬兰人将他奉为国父是实至名归，曼帅是真的能人,1679555619,9,0
这场战争使得洗头佬以为苏联是一座踢一脚就倒的破房子[脱单doge],1679395552,60,0
难绷。都听这个up了还不知道历史是复杂的。,1679405433,36,0
"一些还没讲但值得讲的领导人
葡萄牙:安东尼奥·萨拉查
波兰：约瑟夫·毕苏司机
罗马尼亚：扬·安东内斯库
匈牙利：霍尔蒂·米克洛什",1679547440,6,0
在赫尔辛基曼纳海姆大街 你除了能看到他们英雄的雕像 还能看到这个国家为什么在他之后依然昌盛,1679400192,33,0
越南会笑的树、芬兰会唱歌的雪、阿富汗会发射rpg的山。还有什么欢迎补充？？？,1679477680,17,0
有些弹幕评论……总之无论怎么说苏联都无罪且正义是吧😅,1679411963,73,0
论当民族主义和共产主义碰撞时[吃瓜],1679400415,33,0
我有幸去過赫爾辛基，曼納海姆的雕像就立在市中心，芬蘭人可是一刻也沒有忘記俄國人幹了什麼,1679495230,27,0
"我知道会有人支持曼纳海姆对起义的看法，没错以他的阶级选择很正常，勤于王事也没啥值得挑剔的，但假如你穿越过去，按照当时的人口比例你八成就是被埋的普通人（哦，还有穿越过去就能纵横捭阖啥的，呃，现在去缅缅都要怕被噶腰子，你确定要穿越），所以你赞美个屁呀。[怪我咯][怪我咯][怪我咯][怪我咯][怪我咯]
哦对了，假如你是芬兰人支持他我没意见。",1679405876,62,0
笑死了，李鸿章居然假惺惺的说，确实大多数皇帝会假惺惺的滴几滴鳄鱼泪罢了,1679402224,61,0
其实你们都忽略了一件事，那就是芬兰的民族独立恰恰是沙俄崩溃的结果之一，无论曼纳海姆对沙皇抱有怎样的情绪，他之所以能成为芬兰的民族英雄，其前提是沙俄完蛋了，这恐怕是曼纳海姆一生中最大的黑色幽默,1679403012,74,0
不管怎么说，他一定是让苏联红军最破防的人[doge],1679394596,49,0
说到一千多个俄国穷苦老百姓不如一个奥地利大公的生命时说确实，我只能说我尊重你的想法毕竟人人都可以有不同的观点，但是如果你是一个俄国的穷苦老百姓，你的生活艰辛，但是你有爱你的妻子，你的妻子就是你心目中最喜欢的那种，你也有你爱的孩子，这天你听到沙皇登基有金币发放你欣喜若狂，因为几个金币就可以改善你们家窘迫的情况，你喊着家里的所有人出发希望拿到多几个金币来让你们过的不在这么艰苦，但是拥挤的人群出现了踩踏，你的妻子和孩子都刚刚好死在了这场踩踏，你伟大高贵的皇帝对此第一时间却表示恶心，哦沙皇可真是伟大，谁在乎你之后无妻无子会怎么样呢。我最后只能说我确实不起来。,1679398919,77,0
曼纳海姆，一个矛盾的人，一个封建时期的余孽，一个保卫芬兰民族的英雄,1679571408,10,0
屁股决定脑袋，如果我出身高贵，拥有一大群财富和土地。我肯定选择镇压革命保住自己的财富。如果我一无所有，以后可能也一无所有，你告诉我，我的土地和财富都是被他们剥削走的。我肯定选择革命，抢回土地和财富。,1679564101,17,0
每每讲述上个世纪初至中叶的世界历史，人们无不侃侃而谈教员、光头、罗斯福、丘吉尔、斯大林等等本身就是大国的领导人，而对于其他体量小的国家，那个时代依旧有着很多让历史爱好者印象深刻的人，西临大西洋的爱尔兰、东至罗马尼亚、土耳其，北至芬兰、挪威，南至西班牙、葡萄牙、希腊，这些国家本身都是一战二战的中外圈国家，但是这些国家所处的这个时代的领导人，依旧有着很多值得了解的故事。,1679398615,49,0
"在沙俄时代，曼纳海姆之流从未为芬兰民族的独立出过力。相反在革命前的俄国，坚决主张芬兰、乌克兰、波兰都有权利脱离俄国独立的只有布党。
讽刺的是，在沙俄在芬兰要求小学生都要说俄语，推行同化奴化教育的时候。芬兰贵族曼纳海姆从来没有为同胞出过一分力，反而是他日后的对手格鲁吉亚穷学生斯大林写文章要求承认芬兰人脱离俄国独立的权利。
即便到了二月后，临时政府里的孟什维克和社革成员也拒绝了乌克兰拉达要求脱离俄国的请求，还准备用武力压制。
苏芬战争固然是侵略——斯大林并没有考虑过恢复红芬兰，只是馋维堡这块地罢了。不过话说回来，倘若芬兰内战以红芬获胜告终，那么也不会有苏芬战争了。曼纳海姆不过是收拾当年留下的烂摊子而已。
至于今日芬兰能够成为福利国家，主要也是因为战后芬兰在苏联的监督下进行了改造，废除了反红反工法令。在战后的首次大选中，芬共获得了22%的支持率，在整个冷战期间都维持了15%以上的席位，多次与社民党联合组建政府。这就是历史对芬兰战间期右翼政权的判决，可谓苛政猛于斯大林。
说实话，要不是芬兰变成战败国，别说芬共，就算芬兰社民党也没机会参与政治，更不用说建设福利国家了，芬兰如今大概也不会被视做“北欧国家”。",1679437043,36,0
人们爱苏联的极端真性情“所谓血性”，但同时也给他们造成了一些麻烦，就是感觉他们始终好像只能生活在一种极端的环境中[笑哭],1679477749,22,0
看完这集，感觉曼纳海姆给我留下的印象基本就是一个军事才华出众的反动军官，但是去看完他的后续人生之后发现，他确实是一个以国家大义为重的领袖，失去自己的皇帝之后，他就把自己的后半生致力于捍卫自己的祖国，无论是在芬兰独立初期的维持国内局势，还是再后续抵御苏联进攻上，他都成功的维护了自己的祖国，而二战中的左右逢源也成功的保全了芬兰。而实际上他也多次为了国家选择了与自己厌恶的民主和社会主义妥协。个人对他的看法，一个杰出的将领，一个保守但不迂腐的政治领袖，一个国家最忠实的捍卫者。,1679409050,26,0
芬兰人将他奉为国父是实至名归，曼帅是真的能人,1679555619,9,0
这场战争使得洗头佬以为苏联是一座踢一脚就倒的破房子[脱单doge],1679395552,60,0
难绷。都听这个up了还不知道历史是复杂的。,1679405433,36,0
"一些还没讲但值得讲的领导人
葡萄牙:安东尼奥·萨拉查
波兰：约瑟夫·毕苏司机
罗马尼亚：扬·安东内斯库
匈牙利：霍尔蒂·米克洛什",1679547440,6,0
在赫尔辛基曼纳海姆大街 你除了能看到他们英雄的雕像 还能看到这个国家为什么在他之后依然昌盛,1679400192,33,0
越南会笑的树、芬兰会唱歌的雪、阿富汗会发射rpg的山。还有什么欢迎补充？？？,1679477680,17,0
有些弹幕评论……总之无论怎么说苏联都无罪且正义是吧😅,1679411963,73,0
论当民族主义和共产主义碰撞时[吃瓜],1679400415,33,0
