评论,时间,点赞数,标签
看完这个视频我哭了，想到了自己工作被老板疯狂压榨，生活中的各种倒霉，没想到还能看到一个这么纯粹的人，为做自己喜欢的事而发自内心的笑，让我看到了生活中的真善美，谢谢你，这位老哥,1679408030,34,0
"风乍起，吹皱一池春水
被窝里，偷亲阿帅小嘴",1679485501,14,0
"我大学毕业了6年了。去年去爬峨眉山的时候坐2个小时高铁，看着朋友一直玩手机，就说我们来飞一段吧？就前段时间大火的飞π。
于是我们一路飞花，两个小时不知不觉就过去了。当然π只飞到了小数点25位，我只能背这么多[笑哭]，中途又改为12345678987654321这种，实在想不到了就查下手机，我们俩都是人菜瘾又大哈哈哈哈。
飞花的间隙我看着窗外飞驰而过的桃花和油菜花，突然想到一句和飞花完全不搭边的名句。
等闲识得东风面，万紫千红总是春。",1679363715,105,0
他笑的好真诚，我哭的好大声，真诚的直球把我干穿了,1679363515,75,0
有条弹幕感觉有点歪了。这不是强迫别人做不喜欢的事，是引导小孩去做该做的事。人活一世，哪有那么多事随人意。很多事不是你想不想做，喜不喜欢做，而是你必须去做。难道不喜欢读书就可以不读了吗？假如是你的孩子，上小学因为不喜欢背诗你就不让他背了吗？不喜欢学习你就不让他学了？这显然是不可能的。教育从来不是，也不应该是强迫，而是引导，就像视频里这位老哥一样。,1679385799,17,0
一定要对文字热爱的不遗余力，因为文字是可以传递过去和时空的魔法[寄山色_风流倜傥],1679444833,19,0
小帅，这期我真的绷不住了，我（现在大一）从三年级就开始上国学的兴趣班，从最开始的厌恶，到后来自诩腹有诗书的骄傲，到如今诗词成为我生活的一部分。我从小就属于那种很喜欢表达自己的人（比较抽象），无论是去到玉龙雪山还是泰山，还是桂林，我都录下了我在人群中抽象地大声背诗的视频，现在只有玉龙雪山那个还留存着，真的很可惜，但我依旧会继续背下去。今天看到这期视频，老哥那种纯粹的热爱，喜悦甚至哽咽，我真的绷不住，一个人在寝室里哭了，很庆幸能遇到这么一个直播间，让我遇见这么多热爱诗词的人。我真的不知道怎么表达我内心的情感，正如出师表中：临表涕淋，不知所言。小帅我爱你！,1679387577,70,0
迟早被CCTV点名表扬，我说的[藏狐],1679457314,23,0
真诚是永远的必杀技[大哭],1679350336,466,0
人们终会被年少不可得之物困其一生，这老哥如此的爱诗词，却只能趁着自己病倒了的时候抽一小会来玩飞花令，生活啊。。[大哭][大哭][大哭]阿帅今晚好暖呜呜呜，真的爱了,1679356033,225,0
他的语文老师应该是很棒的一位老师！那种隐含在话语中的尊敬与热爱，将老师的教诲铭记于心，从口中道出时的兴奋与喜悦，让人有种“啊，成为这位老师的学生，真是令人幸福”的感觉。相信他的心中，一定也是这样想的吧！而他在他的老师眼里，也一定是引以为豪的学生！[给心心][给心心][给心心],1679366238,165,0
首先我不是南通，但是该说不说主播玩飞花样子确实有点小帅，当然我不是南通，只是喜欢有文化的主播，我并不是南通，就是主播看的久了有点好看，最后我不是南通[害羞],1679350016,343,0
我感觉我可以明天上课放给我的学生看[tv_腼腆][tv_腼腆]让他们感受一下这种对古诗的热爱[tv_腼腆],1679469410,19,0
好棒[tv_难过][tv_难过],1679387489,47,0
"我眼泪都下来了。
是什么能跨越所有的山海，跨越一切的苦难，跨越数不清的的时间，跨越远方所有的理想和脚下的生活？
是一份感动。
江畔何人初见月？
江月何年初照人？
这份感动还流传下去的。
两个灵魂跨越千年在共振着，因为我们头顶的是同一轮明月。",1679387302,44,0
我突然有点明白伯牙为什么绝弦了,1679390856,49,0
"看完这个视频，我真的哭了，原因有三:
我被老哥热爱古诗并且想把这份热爱传递给亲人朋友的赤子之心感动
细数自己在逐梦的沿途，那些遇到过的困难和挫折都将是我踏上成功之路的垫脚石
阿帅的视频让我真正的发觉——派克好帅啊[嗑瓜子]",1679459892,27,0
"这个兄弟如果不是得了甲流，还在赶路呢，作为众多不能停步的赶路人的一员真的感动，可能在他的每一首诗词里面都有自己的时光，眼泪已经到眼眶了，还得闭眼故意掩饰，也亏得带着口罩，没人看到下面从平静到上扬的嘴角最后恢复平静。
愿你我不管能不能实现，都不曾忘记年少的梦[干杯]",1679600995,4,0
上一个陪我玩飞花的人，变成了我一直联系的好朋友。虽然我俩都很菜，也飞不了几轮，但是有相同的兴趣爱好，这样的人真的可遇不可求。上一次相聚，忽然发现我俩都关注了up，这种感觉真的很好。,1679479147,11,0
我想起了高中的时候学校举办了一次语文知识竞赛，前面听写诗句，我错在了暧暧远人村，依依墟里烟，出局了，然后就是后面有一些选择题，其中有一道是下面四句诗词哪一个没有悲伤之情，其中一个选项是塞外突传收蓟北，初闻涕泪满衣裳，这题没有一个人回答正确，但是我知道，因为课后有一篇散文我读过几遍，里面有一段唱《桃花扇》，里面只写了几句“高皇帝，在九天……塞外塞外突传收蓟北，初闻涕泪满衣裳”，我印象很深，他是边笑边流泪。其他所有题目我都会，只可惜错在了暧字上。,1679462220,23,0
看完这个视频我哭了，想到了自己工作被老板疯狂压榨，生活中的各种倒霉，没想到还能看到一个这么纯粹的人，为做自己喜欢的事而发自内心的笑，让我看到了生活中的真善美，谢谢你，这位老哥,1679408030,34,0
"风乍起，吹皱一池春水
被窝里，偷亲阿帅小嘴",1679485501,14,0
"我大学毕业了6年了。去年去爬峨眉山的时候坐2个小时高铁，看着朋友一直玩手机，就说我们来飞一段吧？就前段时间大火的飞π。
于是我们一路飞花，两个小时不知不觉就过去了。当然π只飞到了小数点25位，我只能背这么多[笑哭]，中途又改为12345678987654321这种，实在想不到了就查下手机，我们俩都是人菜瘾又大哈哈哈哈。
飞花的间隙我看着窗外飞驰而过的桃花和油菜花，突然想到一句和飞花完全不搭边的名句。
等闲识得东风面，万紫千红总是春。",1679363715,105,0
他笑的好真诚，我哭的好大声，真诚的直球把我干穿了,1679363515,75,0
有条弹幕感觉有点歪了。这不是强迫别人做不喜欢的事，是引导小孩去做该做的事。人活一世，哪有那么多事随人意。很多事不是你想不想做，喜不喜欢做，而是你必须去做。难道不喜欢读书就可以不读了吗？假如是你的孩子，上小学因为不喜欢背诗你就不让他背了吗？不喜欢学习你就不让他学了？这显然是不可能的。教育从来不是，也不应该是强迫，而是引导，就像视频里这位老哥一样。,1679385799,17,0
一定要对文字热爱的不遗余力，因为文字是可以传递过去和时空的魔法[寄山色_风流倜傥],1679444833,19,0
小帅，这期我真的绷不住了，我（现在大一）从三年级就开始上国学的兴趣班，从最开始的厌恶，到后来自诩腹有诗书的骄傲，到如今诗词成为我生活的一部分。我从小就属于那种很喜欢表达自己的人（比较抽象），无论是去到玉龙雪山还是泰山，还是桂林，我都录下了我在人群中抽象地大声背诗的视频，现在只有玉龙雪山那个还留存着，真的很可惜，但我依旧会继续背下去。今天看到这期视频，老哥那种纯粹的热爱，喜悦甚至哽咽，我真的绷不住，一个人在寝室里哭了，很庆幸能遇到这么一个直播间，让我遇见这么多热爱诗词的人。我真的不知道怎么表达我内心的情感，正如出师表中：临表涕淋，不知所言。小帅我爱你！,1679387577,70,0
迟早被CCTV点名表扬，我说的[藏狐],1679457314,23,0
真诚是永远的必杀技[大哭],1679350336,466,0
人们终会被年少不可得之物困其一生，这老哥如此的爱诗词，却只能趁着自己病倒了的时候抽一小会来玩飞花令，生活啊。。[大哭][大哭][大哭]阿帅今晚好暖呜呜呜，真的爱了,1679356033,225,0
他的语文老师应该是很棒的一位老师！那种隐含在话语中的尊敬与热爱，将老师的教诲铭记于心，从口中道出时的兴奋与喜悦，让人有种“啊，成为这位老师的学生，真是令人幸福”的感觉。相信他的心中，一定也是这样想的吧！而他在他的老师眼里，也一定是引以为豪的学生！[给心心][给心心][给心心],1679366238,165,0
首先我不是南通，但是该说不说主播玩飞花样子确实有点小帅，当然我不是南通，只是喜欢有文化的主播，我并不是南通，就是主播看的久了有点好看，最后我不是南通[害羞],1679350016,343,0
我感觉我可以明天上课放给我的学生看[tv_腼腆][tv_腼腆]让他们感受一下这种对古诗的热爱[tv_腼腆],1679469410,19,0
好棒[tv_难过][tv_难过],1679387489,47,0
"我眼泪都下来了。
是什么能跨越所有的山海，跨越一切的苦难，跨越数不清的的时间，跨越远方所有的理想和脚下的生活？
是一份感动。
江畔何人初见月？
江月何年初照人？
这份感动还流传下去的。
两个灵魂跨越千年在共振着，因为我们头顶的是同一轮明月。",1679387302,44,0
我突然有点明白伯牙为什么绝弦了,1679390856,49,0
"看完这个视频，我真的哭了，原因有三:
我被老哥热爱古诗并且想把这份热爱传递给亲人朋友的赤子之心感动
细数自己在逐梦的沿途，那些遇到过的困难和挫折都将是我踏上成功之路的垫脚石
阿帅的视频让我真正的发觉——派克好帅啊[嗑瓜子]",1679459892,27,0
"这个兄弟如果不是得了甲流，还在赶路呢，作为众多不能停步的赶路人的一员真的感动，可能在他的每一首诗词里面都有自己的时光，眼泪已经到眼眶了，还得闭眼故意掩饰，也亏得带着口罩，没人看到下面从平静到上扬的嘴角最后恢复平静。
愿你我不管能不能实现，都不曾忘记年少的梦[干杯]",1679600995,4,0
上一个陪我玩飞花的人，变成了我一直联系的好朋友。虽然我俩都很菜，也飞不了几轮，但是有相同的兴趣爱好，这样的人真的可遇不可求。上一次相聚，忽然发现我俩都关注了up，这种感觉真的很好。,1679479147,11,0
我想起了高中的时候学校举办了一次语文知识竞赛，前面听写诗句，我错在了暧暧远人村，依依墟里烟，出局了，然后就是后面有一些选择题，其中有一道是下面四句诗词哪一个没有悲伤之情，其中一个选项是塞外突传收蓟北，初闻涕泪满衣裳，这题没有一个人回答正确，但是我知道，因为课后有一篇散文我读过几遍，里面有一段唱《桃花扇》，里面只写了几句“高皇帝，在九天……塞外塞外突传收蓟北，初闻涕泪满衣裳”，我印象很深，他是边笑边流泪。其他所有题目我都会，只可惜错在了暧字上。,1679462220,23,0
看完这个视频我哭了，想到了自己工作被老板疯狂压榨，生活中的各种倒霉，没想到还能看到一个这么纯粹的人，为做自己喜欢的事而发自内心的笑，让我看到了生活中的真善美，谢谢你，这位老哥,1679408030,34,0
"风乍起，吹皱一池春水
被窝里，偷亲阿帅小嘴",1679485501,14,0
"我大学毕业了6年了。去年去爬峨眉山的时候坐2个小时高铁，看着朋友一直玩手机，就说我们来飞一段吧？就前段时间大火的飞π。
于是我们一路飞花，两个小时不知不觉就过去了。当然π只飞到了小数点25位，我只能背这么多[笑哭]，中途又改为12345678987654321这种，实在想不到了就查下手机，我们俩都是人菜瘾又大哈哈哈哈。
飞花的间隙我看着窗外飞驰而过的桃花和油菜花，突然想到一句和飞花完全不搭边的名句。
等闲识得东风面，万紫千红总是春。",1679363715,105,0
他笑的好真诚，我哭的好大声，真诚的直球把我干穿了,1679363515,75,0
有条弹幕感觉有点歪了。这不是强迫别人做不喜欢的事，是引导小孩去做该做的事。人活一世，哪有那么多事随人意。很多事不是你想不想做，喜不喜欢做，而是你必须去做。难道不喜欢读书就可以不读了吗？假如是你的孩子，上小学因为不喜欢背诗你就不让他背了吗？不喜欢学习你就不让他学了？这显然是不可能的。教育从来不是，也不应该是强迫，而是引导，就像视频里这位老哥一样。,1679385799,17,0
一定要对文字热爱的不遗余力，因为文字是可以传递过去和时空的魔法[寄山色_风流倜傥],1679444833,19,0
小帅，这期我真的绷不住了，我（现在大一）从三年级就开始上国学的兴趣班，从最开始的厌恶，到后来自诩腹有诗书的骄傲，到如今诗词成为我生活的一部分。我从小就属于那种很喜欢表达自己的人（比较抽象），无论是去到玉龙雪山还是泰山，还是桂林，我都录下了我在人群中抽象地大声背诗的视频，现在只有玉龙雪山那个还留存着，真的很可惜，但我依旧会继续背下去。今天看到这期视频，老哥那种纯粹的热爱，喜悦甚至哽咽，我真的绷不住，一个人在寝室里哭了，很庆幸能遇到这么一个直播间，让我遇见这么多热爱诗词的人。我真的不知道怎么表达我内心的情感，正如出师表中：临表涕淋，不知所言。小帅我爱你！,1679387577,70,0
迟早被CCTV点名表扬，我说的[藏狐],1679457314,23,0
真诚是永远的必杀技[大哭],1679350336,466,0
人们终会被年少不可得之物困其一生，这老哥如此的爱诗词，却只能趁着自己病倒了的时候抽一小会来玩飞花令，生活啊。。[大哭][大哭][大哭]阿帅今晚好暖呜呜呜，真的爱了,1679356033,225,0
他的语文老师应该是很棒的一位老师！那种隐含在话语中的尊敬与热爱，将老师的教诲铭记于心，从口中道出时的兴奋与喜悦，让人有种“啊，成为这位老师的学生，真是令人幸福”的感觉。相信他的心中，一定也是这样想的吧！而他在他的老师眼里，也一定是引以为豪的学生！[给心心][给心心][给心心],1679366238,165,0
首先我不是南通，但是该说不说主播玩飞花样子确实有点小帅，当然我不是南通，只是喜欢有文化的主播，我并不是南通，就是主播看的久了有点好看，最后我不是南通[害羞],1679350016,343,0
我感觉我可以明天上课放给我的学生看[tv_腼腆][tv_腼腆]让他们感受一下这种对古诗的热爱[tv_腼腆],1679469410,19,0
好棒[tv_难过][tv_难过],1679387489,47,0
"我眼泪都下来了。
是什么能跨越所有的山海，跨越一切的苦难，跨越数不清的的时间，跨越远方所有的理想和脚下的生活？
是一份感动。
江畔何人初见月？
江月何年初照人？
这份感动还流传下去的。
两个灵魂跨越千年在共振着，因为我们头顶的是同一轮明月。",1679387302,44,0
我突然有点明白伯牙为什么绝弦了,1679390856,49,0
"看完这个视频，我真的哭了，原因有三:
我被老哥热爱古诗并且想把这份热爱传递给亲人朋友的赤子之心感动
细数自己在逐梦的沿途，那些遇到过的困难和挫折都将是我踏上成功之路的垫脚石
阿帅的视频让我真正的发觉——派克好帅啊[嗑瓜子]",1679459892,27,0
"这个兄弟如果不是得了甲流，还在赶路呢，作为众多不能停步的赶路人的一员真的感动，可能在他的每一首诗词里面都有自己的时光，眼泪已经到眼眶了，还得闭眼故意掩饰，也亏得带着口罩，没人看到下面从平静到上扬的嘴角最后恢复平静。
愿你我不管能不能实现，都不曾忘记年少的梦[干杯]",1679600995,4,0
上一个陪我玩飞花的人，变成了我一直联系的好朋友。虽然我俩都很菜，也飞不了几轮，但是有相同的兴趣爱好，这样的人真的可遇不可求。上一次相聚，忽然发现我俩都关注了up，这种感觉真的很好。,1679479147,11,0
我想起了高中的时候学校举办了一次语文知识竞赛，前面听写诗句，我错在了暧暧远人村，依依墟里烟，出局了，然后就是后面有一些选择题，其中有一道是下面四句诗词哪一个没有悲伤之情，其中一个选项是塞外突传收蓟北，初闻涕泪满衣裳，这题没有一个人回答正确，但是我知道，因为课后有一篇散文我读过几遍，里面有一段唱《桃花扇》，里面只写了几句“高皇帝，在九天……塞外塞外突传收蓟北，初闻涕泪满衣裳”，我印象很深，他是边笑边流泪。其他所有题目我都会，只可惜错在了暧字上。,1679462220,23,0
看完这个视频我哭了，想到了自己工作被老板疯狂压榨，生活中的各种倒霉，没想到还能看到一个这么纯粹的人，为做自己喜欢的事而发自内心的笑，让我看到了生活中的真善美，谢谢你，这位老哥,1679408030,34,0
"风乍起，吹皱一池春水
被窝里，偷亲阿帅小嘴",1679485501,14,0
"我大学毕业了6年了。去年去爬峨眉山的时候坐2个小时高铁，看着朋友一直玩手机，就说我们来飞一段吧？就前段时间大火的飞π。
于是我们一路飞花，两个小时不知不觉就过去了。当然π只飞到了小数点25位，我只能背这么多[笑哭]，中途又改为12345678987654321这种，实在想不到了就查下手机，我们俩都是人菜瘾又大哈哈哈哈。
飞花的间隙我看着窗外飞驰而过的桃花和油菜花，突然想到一句和飞花完全不搭边的名句。
等闲识得东风面，万紫千红总是春。",1679363715,105,0
他笑的好真诚，我哭的好大声，真诚的直球把我干穿了,1679363515,75,0
有条弹幕感觉有点歪了。这不是强迫别人做不喜欢的事，是引导小孩去做该做的事。人活一世，哪有那么多事随人意。很多事不是你想不想做，喜不喜欢做，而是你必须去做。难道不喜欢读书就可以不读了吗？假如是你的孩子，上小学因为不喜欢背诗你就不让他背了吗？不喜欢学习你就不让他学了？这显然是不可能的。教育从来不是，也不应该是强迫，而是引导，就像视频里这位老哥一样。,1679385799,17,0
一定要对文字热爱的不遗余力，因为文字是可以传递过去和时空的魔法[寄山色_风流倜傥],1679444833,19,0
小帅，这期我真的绷不住了，我（现在大一）从三年级就开始上国学的兴趣班，从最开始的厌恶，到后来自诩腹有诗书的骄傲，到如今诗词成为我生活的一部分。我从小就属于那种很喜欢表达自己的人（比较抽象），无论是去到玉龙雪山还是泰山，还是桂林，我都录下了我在人群中抽象地大声背诗的视频，现在只有玉龙雪山那个还留存着，真的很可惜，但我依旧会继续背下去。今天看到这期视频，老哥那种纯粹的热爱，喜悦甚至哽咽，我真的绷不住，一个人在寝室里哭了，很庆幸能遇到这么一个直播间，让我遇见这么多热爱诗词的人。我真的不知道怎么表达我内心的情感，正如出师表中：临表涕淋，不知所言。小帅我爱你！,1679387577,70,0
迟早被CCTV点名表扬，我说的[藏狐],1679457314,23,0
真诚是永远的必杀技[大哭],1679350336,466,0
人们终会被年少不可得之物困其一生，这老哥如此的爱诗词，却只能趁着自己病倒了的时候抽一小会来玩飞花令，生活啊。。[大哭][大哭][大哭]阿帅今晚好暖呜呜呜，真的爱了,1679356033,225,0
他的语文老师应该是很棒的一位老师！那种隐含在话语中的尊敬与热爱，将老师的教诲铭记于心，从口中道出时的兴奋与喜悦，让人有种“啊，成为这位老师的学生，真是令人幸福”的感觉。相信他的心中，一定也是这样想的吧！而他在他的老师眼里，也一定是引以为豪的学生！[给心心][给心心][给心心],1679366238,165,0
首先我不是南通，但是该说不说主播玩飞花样子确实有点小帅，当然我不是南通，只是喜欢有文化的主播，我并不是南通，就是主播看的久了有点好看，最后我不是南通[害羞],1679350016,343,0
我感觉我可以明天上课放给我的学生看[tv_腼腆][tv_腼腆]让他们感受一下这种对古诗的热爱[tv_腼腆],1679469410,19,0
好棒[tv_难过][tv_难过],1679387489,47,0
"我眼泪都下来了。
是什么能跨越所有的山海，跨越一切的苦难，跨越数不清的的时间，跨越远方所有的理想和脚下的生活？
是一份感动。
江畔何人初见月？
江月何年初照人？
这份感动还流传下去的。
两个灵魂跨越千年在共振着，因为我们头顶的是同一轮明月。",1679387302,44,0
我突然有点明白伯牙为什么绝弦了,1679390856,49,0
"看完这个视频，我真的哭了，原因有三:
我被老哥热爱古诗并且想把这份热爱传递给亲人朋友的赤子之心感动
细数自己在逐梦的沿途，那些遇到过的困难和挫折都将是我踏上成功之路的垫脚石
阿帅的视频让我真正的发觉——派克好帅啊[嗑瓜子]",1679459892,27,0
"这个兄弟如果不是得了甲流，还在赶路呢，作为众多不能停步的赶路人的一员真的感动，可能在他的每一首诗词里面都有自己的时光，眼泪已经到眼眶了，还得闭眼故意掩饰，也亏得带着口罩，没人看到下面从平静到上扬的嘴角最后恢复平静。
愿你我不管能不能实现，都不曾忘记年少的梦[干杯]",1679600995,4,0
上一个陪我玩飞花的人，变成了我一直联系的好朋友。虽然我俩都很菜，也飞不了几轮，但是有相同的兴趣爱好，这样的人真的可遇不可求。上一次相聚，忽然发现我俩都关注了up，这种感觉真的很好。,1679479147,11,0
我想起了高中的时候学校举办了一次语文知识竞赛，前面听写诗句，我错在了暧暧远人村，依依墟里烟，出局了，然后就是后面有一些选择题，其中有一道是下面四句诗词哪一个没有悲伤之情，其中一个选项是塞外突传收蓟北，初闻涕泪满衣裳，这题没有一个人回答正确，但是我知道，因为课后有一篇散文我读过几遍，里面有一段唱《桃花扇》，里面只写了几句“高皇帝，在九天……塞外塞外突传收蓟北，初闻涕泪满衣裳”，我印象很深，他是边笑边流泪。其他所有题目我都会，只可惜错在了暧字上。,1679462220,23,0
看完这个视频我哭了，想到了自己工作被老板疯狂压榨，生活中的各种倒霉，没想到还能看到一个这么纯粹的人，为做自己喜欢的事而发自内心的笑，让我看到了生活中的真善美，谢谢你，这位老哥,1679408030,34,0
"风乍起，吹皱一池春水
被窝里，偷亲阿帅小嘴",1679485501,14,0
"我大学毕业了6年了。去年去爬峨眉山的时候坐2个小时高铁，看着朋友一直玩手机，就说我们来飞一段吧？就前段时间大火的飞π。
于是我们一路飞花，两个小时不知不觉就过去了。当然π只飞到了小数点25位，我只能背这么多[笑哭]，中途又改为12345678987654321这种，实在想不到了就查下手机，我们俩都是人菜瘾又大哈哈哈哈。
飞花的间隙我看着窗外飞驰而过的桃花和油菜花，突然想到一句和飞花完全不搭边的名句。
等闲识得东风面，万紫千红总是春。",1679363715,105,0
他笑的好真诚，我哭的好大声，真诚的直球把我干穿了,1679363515,75,0
有条弹幕感觉有点歪了。这不是强迫别人做不喜欢的事，是引导小孩去做该做的事。人活一世，哪有那么多事随人意。很多事不是你想不想做，喜不喜欢做，而是你必须去做。难道不喜欢读书就可以不读了吗？假如是你的孩子，上小学因为不喜欢背诗你就不让他背了吗？不喜欢学习你就不让他学了？这显然是不可能的。教育从来不是，也不应该是强迫，而是引导，就像视频里这位老哥一样。,1679385799,17,0
一定要对文字热爱的不遗余力，因为文字是可以传递过去和时空的魔法[寄山色_风流倜傥],1679444833,19,0
